8,49,185,51018
96,51,417,158362
84,52,257,98185
11,50,19,3566
107,36,492,158362
5,35,253,98185
7,44,70,23899
92,50,1779,665505
28,53,287,98185
70,102,180,23899
44,71,1007,332284
1202,75,1247,425402
25,81,186,59314
245,66,854,289593
9,120,50,5629
3,52,25,5679
5,53,243,83468
3,54,135,47326
4,48,83,23877
2,48,8,145
341,88,162,51120
7,68,166,59314
75,107,872,290703
12,95,58,11978
10,104,171,5629
3,61,35,5679
6,64,241,83468
4,55,134,47326
15,94,102,23877
4,57,17,145
1099,75,1211,425402
6,64,167,59297
36,120,881,289593
49,91,66,11978
9,105,185,5629
3,64,37,5679
6,52,247,83468
9,93,152,47326
7,94,97,23877
4,59,14,145
306,74,26,4774
61,55,11,281
100,69,276,86659
7,50,9,281
179,81,11,129
217,44,9,281
291,42,3339,1328812
3,48,76,21345
4,49,123,37352
149,47,3487,1328812
10,116,96,21345
6,56,144,37352
158,53,3510,1328812
4,59,74,21345
10,99,153,37352
1928,70,3271,1249260
6,109,29,182
19,70,1100,340139
11,1952,215,16852
19,120,73,9232
9,121,27,182
1222,53,2928,1249260
11,1806,210,16852
6,124,66,9232
65,113,30,182
362,54,3032,1249260
160,50,252,86929
218,null,null,0
893,56,16,2509
62,35,277,111165
18,43,31,8667
14,93,40,5069
299,null,null,14400
65,null,null,14400
28,null,null,17576
97,56,752,261820
192,59,12,1469
386,40,35,7235
323,38,8,12
195,37,29,8657
29,92,39,5069
30,null,null,14400
46,null,null,14400
10,null,null,17576
10,null,null,14400
1002,46,991,375905
299,50,731,261820
27,41,283,101101
148,33,477,189511
26,null,null,75039
5,null,null,17576
3,null,null,0
38,50,31,8667
3,null,null,14400
24,62,36,5069
2,44,59,16604
4,49,16,2485
115,77,20,3863
386,120,515,86947
18,49,288,86947
200,50,267,86947
99,75,287,92628
25,60,65,24160
105,null,null,0
4,56,176,71148
22,54,274,92628
5,61,16,1260
12,71,49,18745
9,53,7,0
3,35,10,1366
123,59,267,92628
7,108,80,18745
10,61,13,75
11,44,17,1366
108,1894,1534,470102
7,148,155,48
41,62,167,59297
111,54,1076,399944
12,53,10,107
7,47,358,125775
10,46,19,3617
129,null,null,59300
55,null,null,289603
110,null,null,107
359,1973,1588,470102
168,89,194,59297
1025,81,904,276222
117,null,null,107
26,66,12,483
98,null,null,289603
386,50,263,81786
41,null,null,75039
74,87,112,39618
154,51,118,41610
175,null,null,0
30,null,null,0
457,1871,1569,470102
68,87,442,130008
15,74,193,59297
1506,75,824,289593
148,98,16,107
155,71,405,125775
162,56,331,114615
63,46,60,17573
87,null,null,289603
225,null,null,14400
15,null,null,75039
117,60,110,39716
234,70,127,41610
126,null,null,14400
121,51,20,3646
87,null,null,0
2604,67,171,52744
24,64,73,17157
14,87,321,101812
57,112,358,73681
3,65,23,1503
3,59,33,7469
4,66,26,2865
1,54,27,5088
2,66,25,3878
1,42,9,586
1,49,12,659
360,65,321,105466
18,61,455,157647
2,57,58,17157
2,48,11,586
1,45,14,659
66,75,187,58298
11,67,461,157647
2,48,65,17157
9,94,437,101812
8,53,226,73681
3,111,46,1503
6,58,35,7469
2,54,19,2865
2,60,25,5088
2,48,21,3878
15,46,10,586
2,42,12,659
2457,63,565,189243
154,126,38,507
35,50,27,5046
45,56,8,345
65,58,57,16286
1,47,16,1329
1,70,12,91
19,51,31,4859
2,50,28,5884
6,41,31,2890
2,46,14,579
8,47,8,91
4,47,20,3396
25,37,522,178613
69,72,586,189243
156,47,31,5046
162,55,10,345
10,69,12,143
4,53,15,1329
14,43,11,91
5,46,27,4859
2,49,31,5884
7,50,31,2890
1,46,13,579
2,46,11,91
2,46,18,3396
8,42,503,178613
63,72,554,189243
178,53,24,5046
24,50,12,345
3,75,58,16286
2,49,7,91
1,46,26,4859
1,50,11,91
1,48,19,2890
18,44,13,579
3,41,20,3396
18,44,543,178613
174,42,65,21083
330,48,51,13020
9,262,170,280
383,39,2004,828064
10,42,29,8016
15,51,121,35718
133,55,60,13020
101,102,74,282
23,36,26,8016
1083,88,164,35718
34,87,13,282
442,66,23,4404
60,53,564,178651
7,127,59,8856
51,72,15,169
7,118,39,172
170,44,23,4404
276,43,174,58624
25,51,138,43808
113,59,35,8856
10,41,11,172
138,51,24,4404
487,46,200,62346
1,47,10,169
2,40,8,172
66,1613,338,14820
11,99,75,12891
199,85,362,125296
1,70,11,443
16,51,1113,374763
1,63,14,2298
2,48,87,1
2,47,8,150
1,37,9,426
2,41,8,423
2,40,62,20548
4,60,11,930
2,45,21,3090
9,1596,192,14820
6,94,72,12891
178,92,358,125296
2,56,12,443
26,52,1107,374763
2,60,15,2298
2,44,98,1
2,65,8,150
2,38,8,426
2,42,9,423
3,41,8,425
2,40,65,20548
3,65,11,930
2,53,16,3090
79,1584,175,14820
7,95,77,12891
93,85,353,125296
2,53,11,443
24,53,1116,374763
2,56,14,2298
3,43,88,1
2,57,8,150
2,42,9,426
2,40,9,423
1,44,8,425
3,41,62,20548
2,55,10,930
2,39,16,3090
268,67,656,189188
539,53,300,105974
162,40,150,49761
27,65,8,281
15,40,37,11444
717,117,670,189188
32,49,299,105974
16,38,285,101812
2,47,40,11444
6,38,55,17157
682,59,615,189188
13,77,322,105974
26,114,25,281
12,61,481,157647
32,72,169,49761
3,59,49,11444
15,96,430,101812
3,56,59,17157
283,119,329,97161
235,117,828,259789
8,69,121,3
275,87,291,97161
326,73,786,259789
3,60,107,3
303,168,427,97161
253,57,89,23877
11,118,131,3
138,63,1283,461179
10,74,187,51570
37,169,63,5000
11,116,137,307
261,79,1285,461179
16,62,166,51570
37,126,61,5000
7,116,132,307
19,67,837,274343
20,127,1114,285528
1413,132,1362,489581
8,78,185,51570
10,129,61,5000
3,67,12,307
9,40,116,36396
5,49,11,419
1,62,14,430
8,55,9,413
139,54,2662,969159
2,74,12,410
1,67,9,419
2,71,13,430
127,83,974,338059
6,91,61,8890
10,54,259,88393
14,52,19,3830
5,60,53,12027
455,68,962,338059
1,63,36,8890
155,55,40,12027
1,42,12,1387
6,92,238,46384
334,74,973,338059
8,54,35,8890
6,50,17,3830
2,46,14,1387
3,42,108,46384
453,92,444,180769
3,null,null,0
1,null,null,0
14,42,9,312
2754,63,19,163
1955,38,30,7222
18,39,9,312
142,63,30,4753
17,68,281,81786
8,51,91,28125
4,40,41,12357
22,39,22,5069
15,34,42,14400
16,89,73,16604
3,60,14,1979
81,65,417,138095
19,63,47,11240
3,75,20,107
5,80,96,28125
6,51,274,81786
144,72,39,8489
4,60,61,17573
9,91,61,14400
21,57,29,4753
4,51,9,117
5,58,44,11240
2,67,13,1014
18,73,18,107
4,67,74,18506
7,76,298,81786
153,45,19,2486
12,46,259,89645
2,45,65,16604
5,54,10,19
9,129,139,32195
29,98,82,17573
6,90,60,14400
347,57,8,197
329,60,1143,398050
1212,54,1148,398050
7,62,185,62780
4,114,51,4264
5,66,12,82
3,65,36,7742
4,56,13,1351
10,71,47,12128
2,52,21,2879
2,54,10,602
17,118,53,5572
10,64,27,5906
2,68,31,6457
10,50,317,100114
12,130,145,220
315,null,null,6385
11,53,13,1366
9,63,54,14334
2,72,24,4264
6,51,68,18180
1,63,115,0
1,51,9,82
8,73,12,1351
33,52,13,602
3,null,null,106
