2,57,18,3566
9,35,189,158362
5,27,118,98185
5,23,33,23899
13,25,68,51018
66,29,181,158362
3,29,33,23899
24,36,12,3439
81,26,44,31236
19,63,214,51018
61,30,184,158362
46,26,119,98185
2,23,34,23899
155,39,227,167117
7,34,72,59314
251,60,565,290703
1,40,14,5629
3,57,22,5679
12,35,127,83468
10,54,78,47326
14,1162,124,15441
16,61,556,425402
7,37,70,59297
16,58,368,289593
171,45,22,11978
4,60,28,5679
6,33,130,83468
28,54,82,47326
13,64,624,425402
14,35,73,59314
36,66,591,289593
48,61,36,11978
11,56,25,5629
7,40,20,5679
14,34,134,83468
3,35,71,47326
33,28,76,56286
1,36,12,281
199,27,12,4774
11,70,15,281
6,31,12,4774
25,62,18,281
66,28,1424,1328812
4,58,45,21345
28,52,101,37352
61,29,1423,1328812
5,65,55,21345
38,68,101,37352
112,30,1425,1328812
11,65,47,21345
11,46,99,37352
6,984,98,16852
4,46,18,9232
2,67,7,182
61,61,1361,1249260
6,1099,163,16852
4,75,29,9232
16,56,11,182
10,44,451,340139
59,38,1312,1249260
15,699,128,16852
17,51,20,9232
10,63,60,182
17,38,454,340139
145,66,1573,1249260
85,26,435,375905
23,26,25,15897
49,null,null,75039
9,null,null,114638
34,53,28,14400
3,34,29,17573
22,null,null,14400
507,26,432,375905
13,26,48,32560
38,26,117,101124
5,20,87,75036
1,null,null,107
4,null,null,75039
34,null,null,114638
8,19,20,14400
3,null,null,14400
6,38,30,17573
20,null,null,14400
12,34,24,15897
3,29,49,32560
7,null,null,47332
11,25,264,221847
1,24,4,12
7,null,null,75039
8,null,null,114638
14,null,null,47332
9,64,79,14400
3,39,37,17573
17,null,null,14400
7,null,null,17576
2,null,null,14400
52,30,122,86947
136,38,125,86947
204,39,37,24636
66,40,116,92628
4,63,15,1260
2,35,8,2609
6,33,3,0
2,38,5,75
23,25,6,1366
89,32,122,100086
84,30,19,18745
3,73,18,75
2,77,13,1366
4,23,82,71148
65,32,114,92628
4,69,99,24505
3,35,7,1260
2,28,4,0
9,61,25,75
252,40,7,1366
277,713,739,470102
23,29,161,130143
390,23,461,400328
3,58,83,55120
5,null,null,107
84,52,166,125775
604,24,145,114615
30,null,null,59351
34,null,null,290066
38,29,19,14400
44,null,null,81928
108,896,723,470102
284,32,70,59297
3,40,26,12386
395,61,504,400328
363,41,161,125775
17,null,null,17576
56,null,null,59300
149,null,null,289603
14,null,null,14400
9,null,null,107
1003,924,739,470102
30,30,160,130101
25,42,25,12386
2,37,5,107
167,26,147,125775
18,37,29,17573
54,null,null,290066
1,null,null,107
35,32,109,81786
56,28,5,1073
96,null,null,0
64,null,null,0
26,null,null,14400
1,null,null,0
2,null,null,0
97,29,132,105466
8,33,185,157647
7,71,20,281
3,39,39,17157
5,61,172,73681
5,35,134,101812
2,50,16,1503
1,34,19,7469
1,26,9,2865
1,27,12,5088
1,31,13,3878
3,38,7,586
2,34,8,659
191,29,130,105466
12,65,213,157647
3,54,12,281
9,64,108,17157
7,37,141,101812
5,36,155,73681
3,55,18,1503
2,32,18,7469
1,49,19,2865
3,53,21,5088
1,30,12,3878
2,34,6,586
2,37,7,659
7,29,168,134080
6,46,7,281
2,35,33,17157
8,35,97,73681
2,40,11,1503
2,34,18,7469
1,28,9,2865
2,40,15,5088
4,33,14,3878
1,26,6,586
1,35,8,659
8,32,230,189243
80,37,7,507
6,58,19,5046
137,24,5,345
2,24,25,16286
5,49,10,1329
2,36,19,4859
0,25,13,5884
0,25,9,2890
0,26,5,579
1,32,10,3396
9,24,244,178613
37,28,4,140
1,23,8,2711
1,23,12,2779
4,32,5,91
5,41,8,91
306,34,199,157262
96,26,43,30664
7,27,29,18057
3,24,59,47326
25,25,5,140
